Pclass,Age,Fare,FamilySize,IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Survived
3,22,0,0,1,0,1,0,0,1,0,1,0,0
1,38,1,0,1,1,0,1,0,0,0,0,1,1
3,26,0,0,0,1,0,0,0,1,1,0,0,1
1,35,0,0,1,1,0,0,0,1,0,0,1,1
3,35,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
1,54,0,0,0,0,1,0,0,1,0,1,0,0
3,2,0,0,1,0,1,0,0,1,0,0,0,0
3,27,0,0,1,1,0,0,0,1,0,0,1,1
2,14,0,0,1,1,0,1,0,0,0,0,1,1
3,4,0,0,1,1,0,0,0,1,1,0,0,1
1,58,0,0,0,1,0,0,0,1,1,0,0,1
3,20,0,0,0,0,1,0,0,1,0,1,0,0
3,39,0,0,1,0,1,0,0,1,0,1,0,0
3,14,0,0,0,1,0,0,0,1,1,0,0,0
2,55,0,0,0,1,0,0,0,1,0,0,1,1
3,2,0,0,1,0,1,0,1,0,0,0,0,0
2,29.7,0,0,0,0,1,0,0,1,0,1,0,1
3,31,0,0,1,1,0,0,0,1,0,0,1,0
3,29.7,0,0,0,1,0,1,0,0,0,0,1,1
2,35,0,0,0,0,1,0,0,1,0,1,0,0
2,34,0,0,0,0,1,0,0,1,0,1,0,1
3,15,0,0,0,1,0,0,1,0,1,0,0,1
1,28,0,0,0,0,1,0,0,1,0,1,0,1
3,8,0,0,1,1,0,0,0,1,1,0,0,0
3,38,0,0,1,1,0,0,0,1,0,0,1,1
3,29.7,0,0,0,0,1,1,0,0,0,1,0,0
1,19,4,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,40,0,0,0,0,1,1,0,0,0,0,0,0
1,29.7,2,0,1,1,0,1,0,0,0,0,1,1
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
2,66,0,0,0,0,1,0,0,1,0,1,0,0
1,28,1,0,1,0,1,1,0,0,0,1,0,0
1,42,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,1,0,0,0,1,0,1
3,21,0,0,0,0,1,0,0,1,0,1,0,0
3,18,0,0,1,1,0,0,0,1,1,0,0,0
3,14,0,0,1,1,0,1,0,0,1,0,0,1
3,40,0,0,1,1,0,0,0,1,0,0,1,0
2,27,0,0,1,1,0,0,0,1,0,0,1,0
3,29.7,0,0,0,0,1,1,0,0,0,1,0,0
2,3,0,0,1,1,0,1,0,0,1,0,0,1
3,19,0,0,0,1,0,0,1,0,1,0,0,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,0,1,0,1,0,0,1,0,0
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
3,29.7,0,0,1,0,1,1,0,0,0,1,0,0
3,18,0,0,1,1,0,0,0,1,0,0,1,0
3,7,0,0,1,0,1,0,0,1,0,0,0,0
3,21,0,0,0,0,1,0,0,1,0,1,0,0
1,49,1,0,1,1,0,1,0,0,0,0,1,1
2,29,0,0,1,1,0,0,0,1,0,0,1,1
1,65,0,0,1,0,1,1,0,0,0,1,0,0
1,29.7,0,0,0,0,1,0,0,1,0,1,0,1
2,21,0,0,0,1,0,0,0,1,1,0,0,1
3,28.5,0,0,0,0,1,1,0,0,0,1,0,0
2,5,0,0,1,1,0,0,0,1,1,0,0,1
3,11,0,0,1,0,1,0,0,1,0,0,0,0
3,22,0,0,0,0,1,1,0,0,0,1,0,0
1,38,1,0,0,1,0,0,0,1,1,0,0,1
1,45,1,0,1,0,1,0,0,1,0,1,0,0
3,4,0,0,1,0,1,0,0,1,0,0,0,0
1,29.7,0,0,0,0,1,1,0,0,0,1,0,0
3,29.7,0,0,1,0,1,1,0,0,0,0,0,1
2,29,0,0,0,1,0,0,0,1,0,0,1,1
3,19,0,0,0,0,1,0,0,1,0,1,0,0
3,17,0,0,1,1,0,0,0,1,1,0,0,1
3,26,0,0,1,0,1,0,0,1,0,1,0,0
2,32,0,0,0,0,1,0,0,1,0,1,0,0
3,16,0,0,1,1,0,0,0,1,1,0,0,0
2,21,1,0,0,0,1,0,0,1,0,1,0,0
3,26,0,0,1,0,1,1,0,0,0,1,0,0
3,32,0,0,0,0,1,0,0,1,0,1,0,1
3,25,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
2,0.83,0,0,1,0,1,0,0,1,0,0,0,1
3,30,0,0,0,1,0,0,0,1,1,0,0,1
3,22,0,0,0,0,1,0,0,1,0,1,0,0
3,29,0,0,0,0,1,0,0,1,0,1,0,1
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
1,28,0,0,0,0,1,0,0,1,0,1,0,0
2,17,0,0,0,1,0,0,0,1,1,0,0,1
3,33,0,0,1,1,0,0,0,1,0,0,1,1
3,16,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,23,4,0,1,1,0,0,0,1,1,0,0,1
3,24,0,0,0,0,1,0,0,1,0,1,0,0
3,29,0,0,0,0,1,0,0,1,0,1,0,0
3,20,0,0,0,0,1,0,0,1,0,1,0,0
1,46,0,0,1,0,1,0,0,1,0,1,0,0
3,26,0,0,1,0,1,0,0,1,0,1,0,0
3,59,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,71,0,0,0,0,1,1,0,0,0,1,0,0
1,23,1,0,1,0,1,1,0,0,0,1,0,1
2,34,0,0,1,1,0,0,0,1,0,0,1,1
2,34,0,0,1,0,1,0,0,1,0,1,0,0
3,28,0,0,0,1,0,0,0,1,1,0,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,21,1,0,1,0,1,0,0,1,0,1,0,0
3,33,0,0,0,0,1,0,0,1,0,1,0,0
3,37,0,0,1,0,1,0,0,1,0,1,0,0
3,28,0,0,0,0,1,0,0,1,0,1,0,0
3,21,0,0,0,1,0,0,0,1,1,0,0,1
3,29.7,0,0,0,0,1,0,0,1,0,1,0,1
3,38,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,1,0,0,1,0,1,0,0,1
1,47,0,0,0,0,1,0,0,1,0,1,0,0
3,14.5,0,0,1,1,0,1,0,0,1,0,0,0
3,22,0,0,0,0,1,0,0,1,0,1,0,0
3,20,0,0,1,1,0,0,0,1,1,0,0,0
3,17,0,0,0,1,0,1,0,0,1,0,0,0
3,21,0,0,0,0,1,0,0,1,0,1,0,0
3,70.5,0,0,0,0,1,0,1,0,0,1,0,0
2,29,0,0,1,0,1,0,0,1,0,1,0,0
1,24,4,0,1,0,1,1,0,0,0,1,0,0
3,2,0,0,1,1,0,0,0,1,1,0,0,0
2,21,1,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
2,32.5,0,0,1,0,1,1,0,0,0,1,0,0
2,32.5,0,0,0,1,0,0,0,1,1,0,0,1
1,54,1,0,1,0,1,0,0,1,0,1,0,0
3,12,0,0,1,0,1,1,0,0,0,0,0,1
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
3,24,0,0,0,0,1,0,0,1,0,1,0,1
3,29.7,0,0,1,1,0,1,0,0,1,0,0,1
3,45,0,0,0,0,1,0,0,1,0,1,0,0
3,33,0,0,0,0,1,1,0,0,0,1,0,0
3,20,0,0,0,0,1,0,0,1,0,1,0,0
3,47,0,0,1,1,0,0,0,1,0,0,1,0
2,29,0,0,1,1,0,0,0,1,0,0,1,1
2,25,0,0,0,0,1,0,0,1,0,1,0,0
2,23,0,0,0,0,1,1,0,0,0,1,0,0
1,19,0,0,1,1,0,0,0,1,1,0,0,1
1,37,0,0,1,0,1,0,0,1,0,1,0,0
3,16,0,0,0,0,1,0,0,1,0,1,0,0
1,24,1,0,0,0,1,1,0,0,0,1,0,0
3,29.7,0,0,1,1,0,1,0,0,0,0,1,0
3,22,0,0,0,1,0,0,0,1,1,0,0,1
3,24,0,0,1,1,0,0,0,1,0,0,1,1
3,19,0,0,0,0,1,0,1,0,0,1,0,0
2,18,0,0,0,0,1,0,0,1,0,1,0,0
2,19,0,0,1,0,1,0,0,1,0,1,0,0
3,27,0,0,0,0,1,0,0,1,0,1,0,1
3,9,0,0,1,1,0,0,0,1,1,0,0,0
2,36.5,0,0,1,0,1,0,0,1,0,1,0,0
2,42,0,0,0,0,1,0,0,1,0,0,0,0
2,51,0,0,0,0,1,0,0,1,0,0,0,0
1,22,1,0,1,1,0,0,0,1,0,0,1,1
3,55.5,0,0,0,0,1,0,0,1,0,1,0,0
3,40.5,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,51,0,0,1,0,1,1,0,0,0,1,0,0
3,16,0,0,0,1,0,0,1,0,1,0,0,1
3,30,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,1,0,1,0,1,0,0,1,0,0,0,0
3,44,0,0,1,0,1,0,0,1,0,1,0,0
2,40,0,0,0,1,0,0,0,1,0,0,1,1
3,26,0,0,0,0,1,0,0,1,0,1,0,0
3,17,0,0,0,0,1,0,0,1,0,1,0,0
3,1,0,0,1,0,1,0,0,1,0,0,0,0
3,9,0,0,1,0,1,0,0,1,0,0,0,1
1,29.7,0,0,1,1,0,0,0,1,0,0,1,1
3,45,0,0,1,1,0,0,0,1,0,0,1,0
1,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,28,0,0,0,0,1,0,0,1,0,1,0,0
1,61,0,0,0,0,1,0,0,1,0,1,0,0
3,4,0,0,1,0,1,0,1,0,0,0,0,0
3,1,0,0,1,1,0,0,0,1,1,0,0,1
3,21,0,0,0,0,1,0,0,1,0,1,0,0
1,56,0,0,0,0,1,1,0,0,0,1,0,0
3,18,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,0,1,0,0,1,0,0,0,0
1,50,0,0,0,1,0,1,0,0,1,0,0,0
2,30,0,0,0,0,1,0,0,1,0,1,0,0
3,36,-1,0,0,0,1,0,0,1,0,1,0,0
3,29.7,1,0,1,1,0,0,0,1,1,0,0,0
2,29.7,0,0,0,0,1,1,0,0,0,1,0,0
3,9,0,0,1,0,1,0,0,1,0,0,0,0
2,1,0,0,1,0,1,0,0,1,0,0,0,1
3,4,0,0,1,1,0,0,0,1,1,0,0,1
1,29.7,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,1,0,0,1,0,0,0,1,1
1,45,0,0,0,0,1,0,0,1,0,1,0,1
3,40,0,0,1,0,1,0,1,0,0,1,0,0
3,36,0,0,0,0,1,0,0,1,0,1,0,0
2,32,0,0,0,1,0,0,0,1,0,0,1,1
2,19,0,0,0,0,1,0,0,1,0,1,0,0
3,19,0,0,1,1,0,0,0,1,1,0,0,1
2,3,0,0,1,0,1,0,0,1,0,0,0,1
1,44,0,0,0,1,0,1,0,0,0,0,1,1
1,58,2,0,0,1,0,1,0,0,1,0,0,1
3,29.7,0,0,0,0,1,0,1,0,0,1,0,0
3,42,0,0,1,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,1,0,0,1,0,1,0,0,1
2,24,0,0,0,1,0,0,0,1,1,0,0,0
3,28,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,1,0,1,0,1,0,0,1,0,1,0,0
3,34,0,0,0,0,1,0,0,1,0,1,0,0
3,45.5,0,0,0,0,1,1,0,0,0,1,0,0
3,18,0,0,0,0,1,0,0,1,0,1,0,1
3,2,0,0,1,1,0,0,0,1,1,0,0,0
3,32,0,0,1,0,1,0,0,1,0,1,0,0
3,26,0,0,0,0,1,1,0,0,0,1,0,1
3,16,0,0,0,1,0,0,1,0,1,0,0,1
1,40,0,0,0,0,1,1,0,0,0,1,0,1
3,24,0,0,0,0,1,0,0,1,0,1,0,0
2,35,0,0,0,1,0,0,0,1,1,0,0,1
3,22,0,0,0,0,1,0,0,1,0,1,0,0
2,30,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,0,1,0,1,0,0,1,0,0
1,31,1,0,1,1,0,1,0,0,1,0,0,1
3,27,0,0,0,1,0,0,0,1,1,0,0,1
2,42,0,0,1,0,1,0,0,1,0,1,0,0
1,32,1,0,0,1,0,1,0,0,1,0,0,1
2,30,0,0,0,0,1,0,0,1,0,1,0,0
3,16,0,0,0,0,1,0,0,1,0,1,0,1
2,27,0,0,0,0,1,0,0,1,0,1,0,0
3,51,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,0,1,0,0,1,0,1,0,0
1,38,1,0,1,0,1,0,0,1,0,1,0,1
3,22,0,0,0,0,1,0,0,1,0,1,0,0
2,19,0,0,0,0,1,0,0,1,0,1,0,1
3,20.5,0,0,0,0,1,0,0,1,0,1,0,0
2,18,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,1,1,0,0,0,1,1,0,0,0
1,35,1,0,1,1,0,0,0,1,0,0,1,1
3,29,0,0,0,0,1,0,0,1,0,1,0,0
2,59,0,0,0,0,1,0,0,1,0,1,0,0
3,5,0,0,1,1,0,0,0,1,1,0,0,1
2,24,0,0,0,0,1,0,0,1,0,1,0,0
3,29.7,0,0,0,1,0,0,0,1,1,0,0,0
2,44,0,0,1,0,1,0,0,1,0,1,0,0
